12|Χάρηκα πολύ|만나서 반가워||1/6|16%|00:00:05.167|00:00:05.167|correct|2025-03-14 01:53:25
14|Εις το επανιδείν|다시 만날 때까지|Εις το επανειδείν|0/6|0%|no_record|no_record|wrong|2025-03-14 01:53:25
15|Μέχρι τότε|그때까지|Τα λέμε|0/6|0%|no_record|no_record|wrong|2025-03-14 01:53:25
21|Αντίο|잘 가|Μέχρι τότε|0/6|0%|no_record|no_record|wrong|2025-03-14 01:53:25
24|Μπορείς να βοηθήσεις;|도와줄 수 있어?||2/6|33%|00:00:11.239|00:00:06.061|correct|2025-03-14 01:53:25
27|Θα τα καταφέρουμε|우리는 할 수 있어|Θα τα καθαφέρουμε|1/6|16%|00:00:04.832|00:00:04.832|wrong|2025-03-14 01:53:25
28|Πόσο κοστίζει;|얼마인가요?||1/6|16%|00:00:05.898|00:00:05.898|correct|2025-03-14 01:53:25
1|Γεια σου|안녕||1/5|20%|00:00:05.516|00:00:05.516|correct|2025-03-14 01:50:42
2|Καλημέρα|좋은 아침||4/4|100%|00:00:05.353|00:00:03.384|correct|2025-03-14 01:50:42
3|Καλησπέρα|좋은 저녁||2/4|50%|00:00:08.250|00:00:07.204|correct|2025-03-14 01:50:42
4|Καληνύχτα|안녕히 주무세요||4/4|100%|00:00:07.217|00:00:04.000|correct|2025-03-14 01:50:42
5|Ευχαριστώ|감사합니다||4/4|100%|00:00:05.000|00:00:02.459|correct|2025-03-14 01:50:42
6|Παρακαλώ|부탁합니다||2/5|40%|00:00:04.382|00:00:04.382|correct|2025-03-14 01:50:42
7|Συγγνώμη|미안합니다||3/5|60%|00:00:05.152|00:00:03.450|correct|2025-03-14 01:50:42
8|Πώς είσαι;|어떻게 지내?||2/4|50%|00:00:04.249|00:00:04.249|correct|2025-03-14 01:50:42
9|Τι κάνεις;|뭐하고 있어?||1/5|20%|00:00:04.617|00:00:04.617|correct|2025-03-14 01:50:42
10|Όλα καλά|모두 잘||2/4|50%|00:00:06.549|00:00:06.549|correct|2025-03-14 01:50:42
11|Τι νέα;|무슨 소식이야?||2/5|40%|00:00:05.652|00:00:04.113|correct|2025-03-14 01:50:42
13|Τα λέμε|다음에 보자||1/5|20%|00:00:03.100|00:00:03.100|correct|2025-03-14 01:50:42
16|Καλός ήρθες|환영합니다||2/5|40%|00:00:15.134|00:00:11.330|correct|2025-03-14 01:50:42
17|Καλή τύχη|행운을 빕니다||4/5|80%|00:00:05.700|00:00:04.682|correct|2025-03-14 01:50:42
18|Μπράβο|잘했어||2/5|40%|00:00:04.701|00:00:04.701|correct|2025-03-14 01:50:42
19|Καλό ταξίδι|좋은 여행 되세요||2/5|40%|00:00:09.533|00:00:07.366|correct|2025-03-14 01:50:42
20|Δεν πειράζει|괜찮아요||3/5|60%|00:00:05.516|00:00:02.914|correct|2025-03-14 01:50:42
22|Ναι|네||4/4|100%|00:00:01.949|00:00:01.421|correct|2025-03-14 01:50:42
23|Όχι|아니요||2/4|50%|00:00:03.168|00:00:03.168|correct|2025-03-14 01:50:42
25|Πού είναι το μπάνιο;|화장실은 어디에 있나요?||1/5|20%|00:00:22.367|00:00:22.367|correct|2025-03-14 01:50:42
26|Έχεις χρόνο;|시간 있어?||1/5|20%|00:00:10.698|00:00:10.698|correct|2025-03-14 01:50:42
29|Έχω χάσει|길을 잃었어요||2/5|40%|00:00:16.116|00:00:09.338|correct|2025-03-14 01:50:42
30|Βοήθεια!|도와주세요!||1/5|20%|00:00:08.570|00:00:08.570|correct|2025-03-14 01:50:42
